code;label;Parent_1;Type;CATPOL;Commitment;Payment
SEC3 04 06 01;Reserves;SEC3 04 06 Reserves;;1.2.4;n/a;n/a
SEC3 04 06 02;Technical assistance;SEC3 04 06;;1.2.31;1.280.000;1.280.000
SEC3 04 06 02;Reserves;SEC3 04 06 Reserves;;1.2.31;n/a;n/a
SEC3 05;Agriculture and rural development;SEC3 E;;;58.046.850.675;55.635.020.579
SEC3 05;Reserves;SEC3 E Reserves;;;;
SEC3 05 01;Administrative expenditure of the Agriculture and rural development policy area;SEC3 05;;;129.051.616;129.051.616
SEC3 05 01;Reserves;SEC3 05 Reserves;;;;
SEC3 05 01 01;Expenditure related to officials and temporary staff in the Agriculture and rural development policy area;SEC3 05 01;;5.2.3X;97.424.898;97.424.898
SEC3 05 01 01;Reserves;SEC3 05 01 Reserves;;5.2.3X;n/a;n/a
SEC3 05 01 02;External personnel and other management expenditure in support of the Agriculture and rural development policy area;SEC3 05 01;;;10.738.275;10.738.275
SEC3 05 01 02;Reserves;SEC3 05 01 Reserves;;;;
SEC3 05 01 02 01;External personnel;SEC3 05 01 02;;5.2.3X;3.399.499;3.399.499
SEC3 05 01 02 01;Reserves;SEC3 05 01 02 Reserves;;5.2.3X;n/a;n/a
SEC3 05 01 02 11;Other management expenditure;SEC3 05 01 02;;5.2.3X;7.338.776;7.338.776
SEC3 05 01 02 11;Reserves;SEC3 05 01 02 Reserves;;5.2.3X;n/a;n/a
SEC3 05 01 03;Expenditure related to information and communication technology equipment and services of the Agriculture and rural development policy area;SEC3 05 01;;5.2.3X;6.306.203;6.306.203
SEC3 05 01 03;Reserves;SEC3 05 01 Reserves;;5.2.3X;n/a;n/a
SEC3 05 01 04;Support expenditure for operations and programmes in the Agriculture and rural development policy area;SEC3 05 01;;;12.211.000;12.211.000
SEC3 05 01 04;Reserves;SEC3 05 01 Reserves;;;;
SEC3 05 01 04 01;Support expenditure for European Agriculture Guarantee Fund (EAGF) — Non-operational technical assistance;SEC3 05 01 04;;2.0.10;7.931.000;7.931.000
SEC3 05 01 04 01;Reserves;SEC3 05 01 04 Reserves;;2.0.10;n/a;n/a
SEC3 05 01 04 02;Support expenditure for the European Globalisation Adjustment Fund (EGF);SEC3 05 01 04;;9.0.2;p.m.;p.m.
SEC3 05 01 04 02;Reserves;SEC3 05 01 04 Reserves;;9.0.2;n/a;n/a
SEC3 05 01 04 03;Support expenditure for the Pre-accession assistance in the field of agriculture and rural development (IPA);SEC3 05 01 04;;4.0.1;545.000;545.000
SEC3 05 01 04 03;Reserves;SEC3 05 01 04 Reserves;;4.0.1;n/a;n/a
SEC3 05 01 04 04;Support expenditure for the European Agricultural Fund for Rural Development (EAFRD) — Non-operational technical assistance;SEC3 05 01 04;;2.0.2;3.735.000;3.735.000
SEC3 05 01 04 04;Reserves;SEC3 05 01 04 Reserves;;2.0.2;n/a;n/a
SEC3 05 01 05;Support expenditure for research and innovation programmes in the Agriculture and rural development policy area;SEC3 05 01;;;2.371.240;2.371.240
SEC3 05 01 05;Reserves;SEC3 05 01 Reserves;;;;
SEC3 05 01 05 01;Expenditure related to officials and temporary staff implementing research and innovation programmes — Horizon 2020;SEC3 05 01 05;;1.1.31;1.238.086;1.238.086
SEC3 05 01 05 01;Reserves;SEC3 05 01 05 Reserves;;1.1.31;n/a;n/a
SEC3 05 01 05 02;External personnel implementing research and innovation programmes — Horizon 2020;SEC3 05 01 05;;1.1.31;420.000;420.000
SEC3 05 01 05 02;Reserves;SEC3 05 01 05 Reserves;;1.1.31;n/a;n/a
SEC3 05 01 05 03;Other management expenditure for research and innovation programmes — Horizon 2020;SEC3 05 01 05;;1.1.31;713.154;713.154
SEC3 05 01 05 03;Reserves;SEC3 05 01 05 Reserves;;1.1.31;n/a;n/a
SEC3 05 02;Improving the competitiveness of the agricultural sector through interventions in agricultural markets;SEC3 05;;;2.233.400.000;2.233.250.000
SEC3 05 02;Reserves;SEC3 05 Reserves;;;;
SEC3 05 02 01;Cereals;SEC3 05 02;;;;
SEC3 05 02 01;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 01 01;Export refunds for cereals;SEC3 05 02 01;;2.0.10;p.m.;p.m.
SEC3 05 02 01 01;Reserves;SEC3 05 02 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 01 02;Intervention storage of cereals;SEC3 05 02 01;;2.0.10;p.m.;p.m.
SEC3 05 02 01 02;Reserves;SEC3 05 02 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 01 99;Other measures (cereals);SEC3 05 02 01;;2.0.10;p.m.;p.m.
SEC3 05 02 01 99;Reserves;SEC3 05 02 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 02;Rice;SEC3 05 02;;;;
SEC3 05 02 02;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 02 01;Export refunds for rice;SEC3 05 02 02;;2.0.10;p.m.;p.m.
SEC3 05 02 02 01;Reserves;SEC3 05 02 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 02 02;Intervention storage of rice;SEC3 05 02 02;;2.0.10;p.m.;p.m.
SEC3 05 02 02 02;Reserves;SEC3 05 02 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 02 99;Other measures (rice);SEC3 05 02 02;;2.0.10;p.m.;p.m.
SEC3 05 02 02 99;Reserves;SEC3 05 02 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 03;Refunds on non-Annex 1 products;SEC3 05 02;;2.0.10;4.000.000;4.000.000
SEC3 05 02 03;Reserves;SEC3 05 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 04;Food programmes;SEC3 05 02;;;;
SEC3 05 02 04;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 04 99;Other measures (food programmes);SEC3 05 02 04;;2.0.10;p.m.;p.m.
SEC3 05 02 04 99;Reserves;SEC3 05 02 04 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 05;Sugar;SEC3 05 02;;;;
SEC3 05 02 05;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 05 01;Export refunds for sugar and isoglucose;SEC3 05 02 05;;2.0.10;p.m.;p.m.
SEC3 05 02 05 01;Reserves;SEC3 05 02 05 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 05 03;Production refunds for sugar used in the chemical industry;SEC3 05 02 05;;2.0.10;p.m.;p.m.
SEC3 05 02 05 03;Reserves;SEC3 05 02 05 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 05 08;Storage measures for sugar;SEC3 05 02 05;;2.0.10;p.m.;p.m.
SEC3 05 02 05 08;Reserves;SEC3 05 02 05 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 05 99;Other measures (sugar);SEC3 05 02 05;;2.0.10;p.m.;p.m.
SEC3 05 02 05 99;Reserves;SEC3 05 02 05 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 06;Olive oil;SEC3 05 02;;;45.300.000;45.300.000
SEC3 05 02 06;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 06 03;Storage measures for olive oil;SEC3 05 02 06;;2.0.10;p.m.;p.m.
SEC3 05 02 06 03;Reserves;SEC3 05 02 06 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 06 05;Quality improvement measures;SEC3 05 02 06;;2.0.10;45.000.000;45.000.000
SEC3 05 02 06 05;Reserves;SEC3 05 02 06 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 06 99;Other measures (olive oil);SEC3 05 02 06;;2.0.10;300.000;300.000
SEC3 05 02 06 99;Reserves;SEC3 05 02 06 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 07;Textile plants;SEC3 05 02;;;6.200.000;6.200.000
SEC3 05 02 07;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 07 02;Storage measures for flax fibre;SEC3 05 02 07;;2.0.10;p.m.;p.m.
SEC3 05 02 07 02;Reserves;SEC3 05 02 07 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 07 03;Cotton — National restructuring programmes;SEC3 05 02 07;;2.0.10;6.100.000;6.100.000
SEC3 05 02 07 03;Reserves;SEC3 05 02 07 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 07 99;Other measures (textile plants);SEC3 05 02 07;;2.0.10;100.000;100.000
SEC3 05 02 07 99;Reserves;SEC3 05 02 07 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 08;Fruit and vegetables;SEC3 05 02;;;676.700.000;676.700.000
SEC3 05 02 08;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 08 03;Operational funds for producer organisations;SEC3 05 02 08;;2.0.10;285.000.000;285.000.000
SEC3 05 02 08 03;Reserves;SEC3 05 02 08 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 08 11;Aid to producer groups for preliminary recognition;SEC3 05 02 08;;2.0.10;269.000.000;269.000.000
SEC3 05 02 08 11;Reserves;SEC3 05 02 08 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 08 12;School fruit scheme;SEC3 05 02 08;;2.0.10;122.000.000;122.000.000
SEC3 05 02 08 12;Reserves;SEC3 05 02 08 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 08 99;Other measures (fruit and vegetables);SEC3 05 02 08;;2.0.10;700.000;700.000
SEC3 05 02 08 99;Reserves;SEC3 05 02 08 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 09;Products of the wine-growing sector;SEC3 05 02;;;1.085.000.000;1.085.000.000
SEC3 05 02 09;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 09 08;National support programmes for the wine sector;SEC3 05 02 09;;2.0.10;1.083.000.000;1.083.000.000
SEC3 05 02 09 08;Reserves;SEC3 05 02 09 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 09 99;Other measures (wine-growing sector);SEC3 05 02 09;;2.0.10;2.000.000;2.000.000
SEC3 05 02 09 99;Reserves;SEC3 05 02 09 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 10;Promotion;SEC3 05 02;;;61.500.000;61.350.000
SEC3 05 02 10;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 10 01;Promotion measures — Payments by Member States;SEC3 05 02 10;;2.0.10;60.000.000;60.000.000
SEC3 05 02 10 01;Reserves;SEC3 05 02 10 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 10 02;Promotion measures — Direct payments by the Union;SEC3 05 02 10;;2.0.10;1.500.000;1.350.000
SEC3 05 02 10 02;Reserves;SEC3 05 02 10 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 10 99;Other measures (promotion);SEC3 05 02 10;;2.0.10;p.m.;p.m.
SEC3 05 02 10 99;Reserves;SEC3 05 02 10 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 11;Other plant products/measures;SEC3 05 02;;;240.400.000;240.400.000
SEC3 05 02 11;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 11 03;Hops — Aid to producer organisations;SEC3 05 02 11;;2.0.10;2.300.000;2.300.000
SEC3 05 02 11 03;Reserves;SEC3 05 02 11 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 11 04;POSEI (excluding direct aids);SEC3 05 02 11;;2.0.10;238.000.000;238.000.000
SEC3 05 02 11 04;Reserves;SEC3 05 02 11 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 11 99;Other measures (other plant products/measures);SEC3 05 02 11;;2.0.10;100.000;100.000
SEC3 05 02 11 99;Reserves;SEC3 05 02 11 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 12;Milk and milk products;SEC3 05 02;;;81.100.000;81.100.000
SEC3 05 02 12;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 12 01;Refunds for milk and milk products;SEC3 05 02 12;;2.0.10;p.m.;p.m.
SEC3 05 02 12 01;Reserves;SEC3 05 02 12 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 12 02;Intervention storage of skimmed-milk powder;SEC3 05 02 12;;2.0.10;p.m.;p.m.
SEC3 05 02 12 02;Reserves;SEC3 05 02 12 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 12 03;Aid for disposal of skimmed milk;SEC3 05 02 12;;2.0.10;p.m.;p.m.
SEC3 05 02 12 03;Reserves;SEC3 05 02 12 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 12 04;Intervention storage of butter and cream;SEC3 05 02 12;;2.0.10;6.000.000;6.000.000
SEC3 05 02 12 04;Reserves;SEC3 05 02 12 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 12 08;School milk;SEC3 05 02 12;;2.0.10;75.000.000;75.000.000
SEC3 05 02 12 08;Reserves;SEC3 05 02 12 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 12 99;Other measures (milk and milk products);SEC3 05 02 12;;2.0.10;100.000;100.000
SEC3 05 02 12 99;Reserves;SEC3 05 02 12 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 13;Beef and veal;SEC3 05 02;;;1.100.000;1.100.000
SEC3 05 02 13;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 13 01;Refunds for beef and veal;SEC3 05 02 13;;2.0.10;1.000.000;1.000.000
SEC3 05 02 13 01;Reserves;SEC3 05 02 13 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 13 02;Intervention storage of beef and veal;SEC3 05 02 13;;2.0.10;p.m.;p.m.
SEC3 05 02 13 02;Reserves;SEC3 05 02 13 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 13 04;Refunds for live animals;SEC3 05 02 13;;2.0.10;p.m.;p.m.
SEC3 05 02 13 04;Reserves;SEC3 05 02 13 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 13 99;Other measures (beef and veal);SEC3 05 02 13;;2.0.10;100.000;100.000
SEC3 05 02 13 99;Reserves;SEC3 05 02 13 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 14;Sheepmeat and goatmeat;SEC3 05 02;;;;
SEC3 05 02 14;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 14 01;Intervention storage of sheepmeat and goatmeat;SEC3 05 02 14;;2.0.10;p.m.;p.m.
SEC3 05 02 14 01;Reserves;SEC3 05 02 14 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 14 99;Other measures (sheepmeat and goatmeat);SEC3 05 02 14;;2.0.10;p.m.;p.m.
SEC3 05 02 14 99;Reserves;SEC3 05 02 14 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 15;Pigmeat, eggs and poultry, bee-keeping and other animal products;SEC3 05 02;;;32.100.000;32.100.000
SEC3 05 02 15;Reserves;SEC3 05 02 Reserves;;;;
SEC3 05 02 15 01;Refunds for pigmeat;SEC3 05 02 15;;2.0.10;100.000;100.000
SEC3 05 02 15 01;Reserves;SEC3 05 02 15 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 15 02;Intervention storage of pigmeat;SEC3 05 02 15;;2.0.10;p.m.;p.m.
SEC3 05 02 15 02;Reserves;SEC3 05 02 15 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 15 04;Refunds for eggs;SEC3 05 02 15;;2.0.10;p.m.;p.m.
SEC3 05 02 15 04;Reserves;SEC3 05 02 15 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 15 05;Refunds for poultrymeat;SEC3 05 02 15;;2.0.10;1.000.000;1.000.000
SEC3 05 02 15 05;Reserves;SEC3 05 02 15 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 15 06;Specific aid for bee-keeping;SEC3 05 02 15;;2.0.10;31.000.000;31.000.000
SEC3 05 02 15 06;Reserves;SEC3 05 02 15 Reserves;;2.0.10;n/a;n/a
SEC3 05 02 15 99;Other measures (pigmeat, poultry, eggs, bee-keeping, other animal products);SEC3 05 02 15;;2.0.10;p.m.;p.m.
SEC3 05 02 15 99;Reserves;SEC3 05 02 15 Reserves;;2.0.10;n/a;n/a
SEC3 05 03;Direct aids aimed at contributing to farm incomes, limiting farm income variability and meeting environment and climate objectives;SEC3 05;;;41.447.275.640;41.447.275.640
SEC3 05 03;Reserves;SEC3 05 Reserves;;;;
SEC3 05 03 01;Decoupled direct aids;SEC3 05 03;;;38.252.000.000;38.252.000.000
SEC3 05 03 01;Reserves;SEC3 05 03 Reserves;;;;
SEC3 05 03 01 01;SPS (single payment scheme);SEC3 05 03 01;;2.0.10;30.083.000.000;30.083.000.000
SEC3 05 03 01 01;Reserves;SEC3 05 03 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 01 02;SAPS (single area payment scheme);SEC3 05 03 01;;2.0.10;7.382.000.000;7.382.000.000
SEC3 05 03 01 02;Reserves;SEC3 05 03 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 01 03;Separate sugar payment;SEC3 05 03 01;;2.0.10;277.000.000;277.000.000
SEC3 05 03 01 03;Reserves;SEC3 05 03 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 01 04;Separate fruit and vegetables payment;SEC3 05 03 01;;2.0.10;12.000.000;12.000.000
SEC3 05 03 01 04;Reserves;SEC3 05 03 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 01 05;Specific support (Article 68) — Decoupled direct aids;SEC3 05 03 01;;2.0.10;487.000.000;487.000.000
SEC3 05 03 01 05;Reserves;SEC3 05 03 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 01 06;Separate soft fruit payment;SEC3 05 03 01;;2.0.10;11.000.000;11.000.000
SEC3 05 03 01 06;Reserves;SEC3 05 03 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 01 99;Other (decoupled direct aids);SEC3 05 03 01;;2.0.10;p.m.;p.m.
SEC3 05 03 01 99;Reserves;SEC3 05 03 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02;Other direct aids;SEC3 05 03;;;2.770.175.640;2.770.175.640
SEC3 05 03 02;Reserves;SEC3 05 03 Reserves;;;;
SEC3 05 03 02 06;Suckler-cow premium;SEC3 05 03 02;;2.0.10;902.000.000;902.000.000
SEC3 05 03 02 06;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 07;Additional suckler-cow premium;SEC3 05 03 02;;2.0.10;49.000.000;49.000.000
SEC3 05 03 02 07;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 13;Sheep and goat premium;SEC3 05 03 02;;2.0.10;23.000.000;23.000.000
SEC3 05 03 02 13;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 14;Sheep and goat supplementary premium;SEC3 05 03 02;;2.0.10;7.000.000;7.000.000
SEC3 05 03 02 14;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 28;Aid for silkworms;SEC3 05 03 02;;2.0.10;500.000;500.000
SEC3 05 03 02 28;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 36;Payments for specific types of farming and quality production;SEC3 05 03 02;;2.0.10;2.000.000;2.000.000
SEC3 05 03 02 36;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 39;Additional amount for sugar beet and cane producers;SEC3 05 03 02;;2.0.10;21.000.000;21.000.000
SEC3 05 03 02 39;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 40;Area aid for cotton;SEC3 05 03 02;;2.0.10;239.000.000;239.000.000
SEC3 05 03 02 40;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 42;Transitional fruit and vegetables payment — Other products than tomatoes;SEC3 05 03 02;;2.0.10;3.000.000;3.000.000
SEC3 05 03 02 42;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 44;Specific support (Article 68) — Coupled direct aids;SEC3 05 03 02;;2.0.10;1.089.000.000;1.089.000.000
SEC3 05 03 02 44;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 50;POSEI — European Union support programmes;SEC3 05 03 02;;2.0.10;407.000.000;407.000.000
SEC3 05 03 02 50;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 52;POSEI — Aegean islands;SEC3 05 03 02;;2.0.10;18.000.000;18.000.000
SEC3 05 03 02 52;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 02 99;Other (direct aids);SEC3 05 03 02;;2.0.10;9.675.640;9.675.640
SEC3 05 03 02 99;Reserves;SEC3 05 03 02 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 03;Additional amounts of aid;SEC3 05 03;;2.0.10;600.000;600.000
SEC3 05 03 03;Reserves;SEC3 05 03 Reserves;;2.0.10;n/a;n/a
SEC3 05 03 09;Reimbursement of direct aids in relation to financial discipline;;;n/a;n/a;n/a
SEC3 05 03 09;Reserves;;;n/a;n/a;n/a
SEC3 05 03 10;Reserve for crises in the agricultural sector;SEC3 05 03;;2.0.10;424.500.000;424.500.000
SEC3 05 03 10;Reserves;SEC3 05 03 Reserves;;2.0.10;n/a;n/a
SEC3 05 04;Rural development;SEC3 05;;;13.987.271.059;11.611.354.028
SEC3 05 04;Reserves;SEC3 05 Reserves;;;;
SEC3 05 04 01;Completion of rural development financed by the EAGGF Guarantee Section — Programming period 2000 to 2006;SEC3 05 04;;;;
SEC3 05 04 01;Reserves;SEC3 05 04 Reserves;;;;
SEC3 05 04 01 14;Completion of rural development financed by the EAGGF Guarantee Section — Programming period 2000 to 2006;SEC3 05 04 01;;2.0.10;p.m.;p.m.
SEC3 05 04 01 14;Reserves;SEC3 05 04 01 Reserves;;2.0.10;n/a;n/a
SEC3 05 04 02;Rural development financed by the EAGGF Guidance Section — Completion of earlier programmes;SEC3 05 04;;;;
SEC3 05 04 02;Reserves;SEC3 05 04 Reserves;;;;
SEC3 05 04 02 01;Completion of the European Agricultural Guidance and Guarantee Fund, Guidance Section — Objective 1 regions (2000 to 2006);SEC3 05 04 02;;2.0.2;p.m.;p.m.
SEC3 05 04 02 01;Reserves;SEC3 05 04 02 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 02 02;Completion of the special programme for peace and reconciliation in Northern Ireland and the border counties of Ireland (2000 to 2006);SEC3 05 04 02;;2.0.2;p.m.;p.m.
SEC3 05 04 02 02;Reserves;SEC3 05 04 02 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 02 03;Completion of earlier programmes in Objectives 1 and 6 regions (prior to 2000);SEC3 05 04 02;;2.0.2;p.m.;p.m.
SEC3 05 04 02 03;Reserves;SEC3 05 04 02 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 02 04;Completion of earlier programmes in Objective 5b regions (prior to 2000);SEC3 05 04 02;;2.0.2;p.m.;p.m.
SEC3 05 04 02 04;Reserves;SEC3 05 04 02 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 02 05;Completion of earlier programmes outside Objective 1 regions (prior to 2000);SEC3 05 04 02;;2.0.2;p.m.;p.m.
SEC3 05 04 02 05;Reserves;SEC3 05 04 02 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 02 06;Completion of Leader (2000 to 2006);SEC3 05 04 02;;2.0.2;p.m.;p.m.
SEC3 05 04 02 06;Reserves;SEC3 05 04 02 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 02 07;Completion of earlier Community initiatives (prior to 2000);SEC3 05 04 02;;2.0.2;p.m.;p.m.
SEC3 05 04 02 07;Reserves;SEC3 05 04 02 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 02 08;Completion of earlier innovative measures (prior to 2000);SEC3 05 04 02;;2.0.2;p.m.;p.m.
SEC3 05 04 02 08;Reserves;SEC3 05 04 02 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 02 09;Completion of the European Agricultural Guidance and Guarantee Fund, Guidance Section — Operational technical assistance (2000 to 2006);SEC3 05 04 02;;2.0.2;p.m.;p.m.
SEC3 05 04 02 09;Reserves;SEC3 05 04 02 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 03;Completion of other measures;SEC3 05 04;;;;
SEC3 05 04 03;Reserves;SEC3 05 04 Reserves;;;;
SEC3 05 04 03 02;Plant and animal genetic resources — Completion of earlier measures;SEC3 05 04 03;;2.0.10;p.m.;p.m.
SEC3 05 04 03 02;Reserves;SEC3 05 04 03 Reserves;;2.0.10;n/a;n/a
SEC3 05 04 04;Transitional instrument for the financing of rural development by the EAGGF Guarantee Section for the new Member States — Completion of programmes (2004 to 2006);SEC3 05 04;;2.0.2;p.m.;p.m.
SEC3 05 04 04;Reserves;SEC3 05 04 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 05;Completion of rural development financed by the European Agricultural Fund for Rural Development (EAFRD) (2007 to 2013);SEC3 05 04;;;;10.336.330.105
SEC3 05 04 05;Reserves;SEC3 05 04 Reserves;;;;
SEC3 05 04 05 01;Rural development programmes;SEC3 05 04 05;;2.0.2;p.m.;10.329.896.149
SEC3 05 04 05 01;Reserves;SEC3 05 04 05 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 05 02;Operational technical assistance;SEC3 05 04 05;;2.0.2;p.m.;6.433.956
SEC3 05 04 05 02;Reserves;SEC3 05 04 05 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 60;European Agricultural Fund for Rural Development — EAFRD (2014 to 2020);SEC3 05 04;;;13.987.271.059;1.275.023.923
SEC3 05 04 60;Reserves;SEC3 05 04 Reserves;;;;
SEC3 05 04 60 01;Promoting sustainable rural development, a more territorially and environmentally balanced, climate-friendly and innovative Union agricultural sector;SEC3 05 04 60;;2.0.2;13.970.049.059;1.267.275.423
SEC3 05 04 60 01;Reserves;SEC3 05 04 60 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 60 02;Operational technical assistance;SEC3 05 04 60;;2.0.2;17.222.000;7.748.500
SEC3 05 04 60 02;Reserves;SEC3 05 04 60 Reserves;;2.0.2;n/a;n/a
SEC3 05 04 60 03;Operational technical assistance managed by the Commission at the request of a Member State;SEC3 05 04 60;;2.0.2;p.m.;p.m.
SEC3 05 04 60 03;Reserves;SEC3 05 04 60 Reserves;;2.0.2;n/a;n/a
SEC3 05 05;Instrument for Pre-accession Assistance — Agriculture and rural development;SEC3 05;;;90.000.000;110.997.038
SEC3 05 05;Reserves;SEC3 05 Reserves;;;;
SEC3 05 05 01;Special Accession Programme for Agriculture and Rural Development (Sapard) — Completion of earlier measures (prior to 2014);SEC3 05 05;;;;
SEC3 05 05 01;Reserves;SEC3 05 05 Reserves;;;;
SEC3 05 05 01 01;The Sapard pre-accession instrument — Completion of the programme (2000 to 2006);SEC3 05 05 01;;4.0.1;p.m.;p.m.
SEC3 05 05 01 01;Reserves;SEC3 05 05 01 Reserves;;4.0.1;n/a;n/a
SEC3 05 05 01 02;The Sapard pre-accession instrument — Completion of the pre-accession assistance related to eight applicant countries;SEC3 05 05 01;;4.0.1;p.m.;p.m.
SEC3 05 05 01 02;Reserves;SEC3 05 05 01 Reserves;;4.0.1;n/a;n/a
SEC3 05 05 02;Instrument for Pre-accession Assistance for Rural Development (IPARD) — Completion of the programme (2007 to 2013);SEC3 05 05;;4.0.1;p.m.;93.043.400
SEC3 05 05 02;Reserves;SEC3 05 05 Reserves;;4.0.1;n/a;n/a
SEC3 05 05 03;Support to Albania, Bosnia and Herzegovina, Kosovo, Montenegro, Serbia and the former Yugoslav Republic of Macedonia;SEC3 05 05;;;20.000.000;4.200.000
SEC3 05 05 03;Reserves;SEC3 05 05 Reserves;;;;
SEC3 05 05 03 01;Support for political reforms and progressive alignment with and adoption, implementation and enforcement of the Union acquis;SEC3 05 05 03;;4.0.1;p.m.;p.m.
SEC3 05 05 03 01;Reserves;SEC3 05 05 03 Reserves;;4.0.1;n/a;n/a
